x,SUPG method,Analytical Solution
0,0,0
0.01,0.00995058,0.00995058
0.02,0.0199022,0.0199022
0.03,0.0298547,0.0298547
0.04,0.0398083,0.0398083
0.05,0.0497629,0.0497629
0.06,0.0597184,0.0597184
0.07,0.069675,0.069675
0.08,0.0796325,0.0796325
0.09,0.0895911,0.0895911
0.1,0.0995506,0.0995506
0.11,0.109511,0.109511
0.12,0.119473,0.119473
0.13,0.129435,0.129435
0.14,0.139399,0.139399
0.15,0.149363,0.149363
0.16,0.159329,0.159329
0.17,0.169295,0.169295
0.18,0.179263,0.179263
0.19,0.189231,0.189231
0.2,0.199201,0.199201
0.21,0.209171,0.209171
0.22,0.219143,0.219143
0.23,0.229115,0.229115
0.24,0.239089,0.239089
0.25,0.249063,0.249063
0.26,0.259039,0.259039
0.27,0.269015,0.269015
0.28,0.278993,0.278993
0.29,0.288971,0.288971
0.3,0.298951,0.298951
0.31,0.308931,0.308931
0.32,0.318913,0.318913
0.33,0.328895,0.328895
0.34,0.338879,0.338879
0.35,0.348863,0.348863
0.36,0.358849,0.358849
0.37,0.368835,0.368835
0.38,0.378822,0.378822
0.39,0.388811,0.388811
0.4,0.3988,0.3988
0.41,0.408791,0.408791
0.42,0.418782,0.418782
0.43,0.428775,0.428775
0.44,0.438768,0.438768
0.45,0.448763,0.448763
0.46,0.458758,0.458758
0.47,0.468755,0.468755
0.48,0.478752,0.478752
0.49,0.488751,0.488751
0.5,0.49875,0.49875
0.51,0.50875,0.50875
0.52,0.518752,0.518752
0.53,0.528754,0.528754
0.54,0.538758,0.538758
0.55,0.548762,0.548762
0.56,0.558768,0.558768
0.57,0.568774,0.568774
0.58,0.578782,0.578782
0.59,0.58879,0.58879
0.6,0.5988,0.5988
0.61,0.60881,0.60881
0.62,0.618822,0.618822
0.63,0.628834,0.628834
0.64,0.638847,0.638847
0.65,0.648862,0.648862
0.66,0.658877,0.658877
0.67,0.668894,0.668894
0.68,0.678911,0.678911
0.69,0.68893,0.68893
0.7,0.698949,0.698949
0.71,0.70897,0.70897
0.72,0.718991,0.718991
0.73,0.729014,0.729014
0.74,0.739037,0.739037
0.75,0.749062,0.749062
0.76,0.759087,0.759087
0.77,0.769114,0.769114
0.78,0.779141,0.779141
0.79,0.78917,0.78917
0.8,0.799199,0.799199
0.81,0.80923,0.80923
0.82,0.819261,0.819261
0.83,0.829294,0.829294
0.84,0.839327,0.839327
0.85,0.849362,0.849362
0.86,0.859397,0.859397
0.87,0.869434,0.869434
0.88,0.879471,0.879471
0.89,0.88951,0.88951
0.9,0.899549,0.899549
0.91,0.90959,0.90959
0.92,0.919631,0.919631
0.93,0.929674,0.929674
0.94,0.939718,0.939718
0.95,0.949762,0.949762
0.96,0.959808,0.959808
0.97,0.969854,0.969854
0.98,0.979902,0.979902
0.99,0.98995,0.98995
1,1,1
